policy,N,mean_ms,p50_ms,p95_ms,manuscript_mean,manuscript_p50,manuscript_p95,class_reweighted_mean_ms,numpy_median,numpy_p95_linear
NoCache,40,3255.3429,3014.4365,5050.3256,3255.3,3014.4,5050.3,3271.3768,2995.8059,5087.4183
SemanticTTL_k1_16,40,703.2609,13.5103,3832.4685,703.3,13.5,3832.5,142.6748,13.4921,3835.7796
FreshCache_NoL1,40,1238.1737,742.9898,3558.2709,1238.2,743.0,3558.3,852.8883,655.6586,3573.3113
FreshCache,40,1214.4276,563.846,3107.3237,1214.4,563.8,3107.3,885.935,562.3667,3148.5668
